Id,Time[ns],1:UART: RX/TX
910,8602349200.00,0
911,8602360040.00,A
912,8602370880.00,4
913,8602381720.00,1
914,8602392560.00,6
915,8602403440.00,3
916,8602414280.00,6
917,8602425120.00,3
918,8602435960.00,6
919,8602446840.00,5
920,8602457680.00,7
921,8602468520.00,3
922,8602479360.00,7
923,8602490200.00,3
924,8602501080.00,2
925,8602511920.00,D
926,8602522760.00,4
927,8602533600.00,3
928,8602544440.00,6
929,8602555280.00,F
930,8602566160.00,6
931,8602577000.00,E
932,8602587840.00,7
933,8602598680.00,4
934,8602609520.00,7
935,8602620400.00,2
936,8602631240.00,6
937,8602642080.00,F
938,8602652920.00,6
939,8602663800.00,C
940,8602674640.00,2
941,8602685480.00,D
942,8602696320.00,4
943,8602707160.00,1
944,8602718040.00,6
945,8602728880.00,C
946,8602739720.00,6
947,8602750560.00,C
948,8602761400.00,6
949,8602772240.00,F
950,8602783120.00,7
951,8602793960.00,7
952,8602804800.00,2
953,8602815640.00,D
954,8602826480.00,4
955,8602837360.00,F
956,8602848200.00,7
957,8602859040.00,2
958,8602869880.00,6
959,8602880760.00,9
960,8602891600.00,6
961,8602902440.00,7
962,8602913280.00,6
963,8602924120.00,9
964,8602935000.00,6
965,8602945840.00,E
966,8602956680.00,3
967,8602967520.00,A
968,8602978360.00,2
969,8602989200.00,0
970,8603000080.00,2
971,8603010920.00,A
972,8603021760.00,0
973,8603032600.00,D
974,8603043440.00,0
975,8603054320.00,A
976,8603065160.00,0
977,8603076000.00,D
978,8603086840.00,0
979,8603097720.00,A
980,8603108560.00,7
981,8603119400.00,B
982,8603130240.00,2
983,8603141080.00,2
984,8603151960.00,6
985,8603162800.00,D
986,8603173640.00,7
987,8603184480.00,1
988,8603195320.00,7
989,8603206160.00,4
990,8603217040.00,7
991,8603227880.00,4
992,8603238720.00,2
993,8603249560.00,2
994,8603260400.00,3
995,8603271280.00,A
996,8603282120.00,7
997,8603292960.00,B
998,8603303800.00,2
